Country,Happiness Score,Region,Year,Dystopia Residual,Economy (GDP per Capita),F4,Family,Freedom,Generosity,Happiness Rank,Health (Life Expectancy),Trust (Government Corruption)
Denmark,7.5,Western Europe,1/1/2016,2.73939,1.4,,1.2,0.57941,0.4,1,0.8,0.4
Switzerland,7.5,Western Europe,1/1/2016,2.69463,1.5,,1.1,0.58557,0.3,2,0.9,0.4
Iceland,7.5,Western Europe,1/1/2016,2.83137,1.4,,1.2,0.56624,0.5,3,0.9,0.1
Norway,7.5,Western Europe,1/1/2016,2.66465,1.6,,1.1,0.59609,0.4,4,0.8,0.4
Finland,7.4,Western Europe,1/1/2016,2.82596,1.4,,1.1,0.57104,0.3,5,0.8,0.4
Canada,7.4,North America,1/1/2016,2.70485,1.4,,1.1,0.5737,0.4,6,0.8,0.3
Netherlands,7.3,Western Europe,1/1/2016,2.70749,1.5,,1.0,0.55211,0.5,7,0.8,0.3
New Zealand,7.3,Australia and New Zealand,1/1/2016,2.47553,1.4,,1.2,0.58147,0.5,8,0.8,0.4
Australia,7.3,Australia and New Zealand,1/1/2016,2.5465,1.4,,1.1,0.56837,0.5,9,0.9,0.3
Sweden,7.3,Western Europe,1/1/2016,2.54734,1.5,,1.1,0.58218,0.4,10,0.8,0.4
Israel,7.3,Middle East and Northern Africa,1/1/2016,3.31029,1.3,,1.0,0.36432,0.3,11,0.8,0.1
Austria,7.1,Western Europe,1/1/2016,2.69343,1.5,,1.1,0.54355,0.3,12,0.8,0.2
United States,7.1,North America,1/1/2016,2.72782,1.5,,1.0,0.48163,0.4,13,0.8,0.1
Costa Rica,7.1,Latin America and Caribbean,1/1/2016,3.35168,1.1,,1.0,0.55225,0.2,14,0.8,0.1
Puerto Rico,7.0,Latin America and Caribbean,1/1/2016,3.0076,1.4,,1.1,0.46823,0.2,15,0.8,0.1
Germany,7.0,Western Europe,1/1/2016,2.50931,1.4,,1.1,0.53466,0.3,16,0.8,0.3
Brazil,7.0,Latin America and Caribbean,1/1/2016,3.50733,1.1,,1.0,0.40425,0.2,17,0.6,0.1
Belgium,6.9,Western Europe,1/1/2016,2.61355,1.4,,1.1,0.51354,0.2,18,0.8,0.3
Ireland,6.9,Western Europe,1/1/2016,2.15988,1.5,,1.2,0.54008,0.4,19,0.8,0.3
Luxembourg,6.9,Western Europe,1/1/2016,2.11055,1.7,,1.0,0.5487,0.3,20,0.8,0.4
Mexico,6.8,Latin America and Caribbean,1/1/2016,3.55906,1.1,,0.7,0.37709,0.1,21,0.7,0.2
